"Game","Date","1","2","3","4","5","6","Additional number","some_1","Some_2"
"2468","13/04/13","1","11","15","24","27","34","5","0","0"
"2467","09/04/13","11","20","21","22","25","36","7","0","0"
"2466","06/04/13","8","12","13","27","28","34","7","0","0"
"2465","02/04/13","1","8","12","19","30","35","4","0","0"
"2464","30/03/13","8","10","12","15","19","30","5","0","0"
"2463","27/03/13","3","4","7","21","33","37","2","0","0"
"2462","23/03/13","6","12","13","24","27","29","4","0","0"
"2461","19/03/13","1","8","9","18","19","20","4","0","0"
"2460","16/03/13","17","25","29","30","33","37","2","0","0"
"2459","12/03/13","2","14","27","28","32","34","7","0","0"
"2458","09/03/13","7","9","13","14","30","33","1","0","0"
"2457","05/03/13","5","13","19","22","28","33","2","0","1"
"2456","02/03/13","3","4","26","30","34","37","4","0","0"
"2455","26/02/13","3","9","13","17","25","37","1","1","0"
"2454","23/02/13","13","16","24","31","35","36","5","0","0"
"2453","19/02/13","4","23","25","30","32","35","3","0","0"
"2452","16/02/13","6","8","14","20","25","29","6","0","0"
"2451","12/02/13","1","15","17","21","34","37","3","0","0"
"2450","09/02/13","4","20","21","26","35","37","1","0","0"
"2449","05/02/13","3","5","10","17","30","32","1","0","0"
"2448","02/02/13","1","9","11","20","25","27","3","0","0"
"2447","29/01/13","9","16","18","30","32","33","7","0","0"
"2446","26/01/13","6","9","13","17","29","34","6","1","1"
"2445","22/01/13","1","6","14","20","29","36","2","0","0"
"2444","19/01/13","10","12","26","27","31","36","3","0","0"
"2443","15/01/13","5","13","14","16","18","21","2","0","0"
"2442","12/01/13","1","3","11","25","33","34","3","0","0"
"2441","08/01/13","9","16","17","20","32","33","4","0","0"
"2440","05/01/13","7","10","12","19","25","36","7","0","0"
"2439","01/01/13","5","11","12","13","15","20","4","0","0"
"2438","29/12/12","11","13","18","26","27","36","2","0","0"
"2437","25/12/12","1","4","5","7","18","23","1","1","0"
"2436","22/12/12","7","16","28","31","33","35","4","0","0"
"2435","20/12/12","6","9","24","25","33","34","2","0","0"
"2434","18/12/12","8","14","18","22","25","31","1","1","0"
"2433","15/12/12","7","10","17","23","24","31","3","0","0"
"2432","11/12/12","2","9","15","22","31","33","6","0","0"
"2431","08/12/12","3","10","11","13","26","37","1","1","0"
"2430","06/12/12","5","6","9","26","32","35","4","0","0"
"2429","04/12/12","2","3","6","19","25","27","7","0","0"
"2428","01/12/12","2","8","12","31","34","35","5","0","0"
"2427","27/11/12","12","14","19","20","23","25","4","0","0"
